file,version,engine,date,n,wr,avg_pnl,cum,avg_rr,sl_rate,by_year,decision,error
E:\test\smc_project\hermes\smc_opt_v91_shadow_zone_entry_scanner\v91_shadow_scan_report.json,91.,V91_SHADOW_ZONE_ENTRY_SCANNER,,,,,,,,,,no metrics block
E:\test\smc_project\hermes\smc_opt_v91_smc_full_flow_solution\v91_full_flow_report.json,91.,V91_SMC_FULL_FLOW_SOLUTION_AUDIT,,523,90.25,2.6923,1408.08,0.0,9.75,"2023:n=103,wr=87.4,avg=2.21; 2024:n=122,wr=89.3,avg=2.49; 2025:n=220,wr=91.8,avg=2.92; 2026:n=78,wr=91.0,avg=3.00",PASS_PRODUCTION_WR90_AVG_R2_AND_PASS_ELITE_MTF_RR,
E:\test\smc_project\hermes\smc_opt_v92_recovery_time_stop_zone_mid_autopsy\v92_autopsy_report.json,92.,V92_RECOVERY_TIME_STOP_ZONE_MID_AUTOPSY,,532,83.65,2.8689,,,12.97,,,
E:\test\smc_project\hermes\smc_opt_v93_recovery_time_runner_audit\v93_recovery_time_runner_report.json,93.,V93_RECOVERY_GATE_TIME_STOP_RUNNER_AUDIT,,22037,87.99,1.3536,,,11.92,,,
E:\test\smc_project\hermes\smc_opt_v94_post_exit_tp_sl_autopsy\v94_post_exit_report.json,94.,V94_POST_EXIT_TP_SL_AUTOPSY,,,,,,,,,,no metrics block
E:\test\smc_project\hermes\smc_opt_v95_exit_contract_autopsy\v95_exit_contract_report.json,95.,V95_EXIT_CONTRACT_AUTOPSY,,532,86.09,2.9382,1563.1,,12.97,"2023:n=108,wr=83.3,avg=2.45; 2024:n=123,wr=88.6,avg=2.92; 2025:n=223,wr=86.1,avg=3.18; 2026:n=78,wr=85.9,avg=2.96",,
E:\test\smc_project\hermes\smc_opt_v96_adaptive_entry_exit_search\v96_report.json,96.,V96_ADAPTIVE_ENTRY_EXIT_SEARCH,,516,87.4,4.9332,2545.52,,4.84,,,
E:\test\smc_project\hermes\smc_opt_v96_runner_sl_split_autopsy\v96_runner_sl_split_report.json,96.,V96_RUNNER_SL_SPLIT_AUTOPSY,,140,100.0,4.4213,618.99,,,,,
E:\test\smc_project\hermes\smc_opt_v97_structural_rr_contract\v97_report.json,97.,V97_STRUCTURAL_RR_CONTRACT,2026-06-15T17:26:28,10440,58.6,3.1425,32808.178,,41.4,,,
E:\test\smc_project\hermes\smc_opt_v98_reachable_5r_probability_gate\v98_report.json,98.,V98_REACHABLE_5R_PROBABILITY_GATE,2026-06-26T15:31:10,7828,62.98,3.0765,24083.1024,,37.02,,,
E:\test\smc_project\hermes\smc_opt_v98_reachable_5r_probability_gate\v98_shadow_fix_matrix.json,98.,/current/overall,,7923,62.97,3.0708,24329.8376,,37.03,,,
E:\test\smc_project\hermes\smc_opt_v98_reachable_5r_probability_gate\v99_high_wr_gate_search.json,98.,/base,,7923,62.97,3.0708,24329.8376,,37.03,,,
E:\test\smc_project\hermes\smc_opt_v99_high_wr_gate\v100_search_report.json,99.,,,,,,,,,,,Expecting value: line 1 column 1 (char 0)
E:\test\smc_project\hermes\smc_opt_v99_high_wr_gate\v99_report.json,99.,V99_PROFIT_PROTECT_HIGH_WR_GATE,20260626,60,100.0,1.9508,117.048,,0.0,,,
