symbol,entry_date,src,net_pnl_pct,eq_near_active,eqh_active_n,eql_active_n,eq_conflu
000404.SZ,20240202,EVENT,-5.0578,False,0,0,False
301071.SZ,20240202,EVENT,-4.3499,False,0,0,False
600351.SH,20240202,EVENT,-4.3611,False,0,0,False
600739.SH,20240202,EVENT,-4.7284,False,0,0,False
601003.SH,20240202,EVENT,-5.8255,False,0,0,False
300129.SZ,20240205,EVENT,-8.9925,False,0,0,False
601003.SH,20240205,EVENT,-5.7389,False,0,0,False
600337.SH,20240206,EVENT,-2.4717,False,0,0,False
001289.SZ,20240207,EVENT,1.0263,False,0,0,False
600022.SH,20240207,EVENT,4.6658,False,0,0,False
600031.SH,20240207,EVENT,1.2466,True,1,0,False
601003.SH,20240207,EVENT,-0.9033,False,0,0,False
688147.SH,20240207,EVENT,12.7877,False,0,0,False
002424.SZ,20240208,EVENT,5.0511,False,0,0,False
002484.SZ,20240208,EVENT,10.299,False,0,0,False
003012.SZ,20240208,EVENT,3.5691,False,0,0,False
601003.SH,20240208,EVENT,9.4579,False,0,0,False
603558.SH,20240208,EVENT,8.8663,False,0,0,False
000534.SZ,20240219,EVENT,0.4287,False,0,0,False
002111.SZ,20240219,EVENT,12.1904,False,0,0,False
002252.SZ,20240219,EVENT,4.8659,False,0,0,False
002627.SZ,20240219,EVENT,4.1222,False,0,0,False
301325.SZ,20240219,EVENT,0.8973,False,0,0,False
605060.SH,20240219,EVENT,1.0744,False,0,0,False
000544.SZ,20240220,EVENT,0.9345,False,0,0,False
002687.SZ,20240220,EVENT,11.9759,False,0,0,False
301196.SZ,20240220,EVENT,6.578,False,0,0,False
001283.SZ,20240221,EVENT,2.4828,False,0,0,False
002092.SZ,20240221,EVENT,-0.1824,False,0,0,False
002117.SZ,20240221,EVENT,0.5545,False,0,0,False
002132.SZ,20240221,EVENT,2.9618,False,0,0,False
002249.SZ,20240221,EVENT,7.1234,False,0,0,False
002664.SZ,20240221,EVENT,13.4636,False,0,0,False
300463.SZ,20240221,EVENT,0.1939,False,0,0,False
300897.SZ,20240221,EVENT,19.363,False,0,0,False
301160.SZ,20240221,EVENT,6.5969,False,0,0,False
600643.SH,20240221,EVENT,-1.5832,False,0,0,False
600645.SH,20240221,EVENT,1.997,False,0,0,False
600699.SH,20240221,EVENT,6.5494,False,0,0,False
603067.SH,20240221,EVENT,2.8034,False,0,0,False
603339.SH,20240221,EVENT,10.2222,False,0,0,False
688005.SH,20240221,EVENT,-3.8989,False,0,0,False
688010.SH,20240221,EVENT,10.5608,False,0,0,False
688061.SH,20240221,EVENT,10.0978,False,0,0,False
688105.SH,20240221,EVENT,-1.905,False,0,0,False
688239.SH,20240221,EVENT,4.497,False,0,0,False
688326.SH,20240221,EVENT,2.8164,False,0,0,False
688349.SH,20240221,EVENT,10.694,False,0,0,False
688531.SH,20240221,EVENT,5.523,False,0,0,False
002117.SZ,20240222,EVENT,1.2307,False,0,0,False
002132.SZ,20240222,EVENT,4.9063,False,0,0,False
002634.SZ,20240222,EVENT,6.7715,False,0,0,False
300435.SZ,20240222,EVENT,12.5059,False,0,0,False
300700.SZ,20240222,EVENT,16.3241,False,0,0,False
300786.SZ,20240222,EVENT,16.9128,False,0,0,False
300873.SZ,20240222,EVENT,2.3843,False,0,0,False
300985.SZ,20240222,EVENT,11.9806,False,0,0,False
300997.SZ,20240222,EVENT,5.1694,False,0,0,False
301047.SZ,20240222,EVENT,1.8376,False,0,0,False
301290.SZ,20240222,EVENT,2.2049,False,0,0,False
301366.SZ,20240222,EVENT,25.691,False,0,0,False
600826.SH,20240222,EVENT,2.6675,False,0,0,False
603039.SH,20240222,EVENT,2.8268,False,0,0,False
603416.SH,20240222,EVENT,8.7467,False,0,0,False
603755.SH,20240222,EVENT,-7.1076,False,0,0,False
603798.SH,20240222,EVENT,32.489,False,0,0,False
603950.SH,20240222,EVENT,9.3357,False,0,0,False
688123.SH,20240222,EVENT,18.3574,False,0,0,False
688138.SH,20240222,EVENT,14.1832,False,0,0,False
688237.SH,20240222,EVENT,3.3964,False,0,0,False
688252.SH,20240222,EVENT,15.3961,False,0,0,False
688519.SH,20240222,EVENT,20.3443,False,0,0,False
