symbol,entry_date,src,net_pnl_pct,tp,sl,v23_weight_v2,v23_flags_v2
600679.SH,20240812,EVENT,-6.7308,10.513,7.955,0.0184,s7v2_up;s22;s9_bsl_tight;s6x1;s14
600382.SH,20240905,EVENT,3.784,3.59,3.201,0.0735,s15;s8_sweep_bear;s6x1;s13;s14
300073.SZ,20240902,EVENT,4.5596,31.347,25.678,0.196,s15;s10_in_ob;s6x1;s13
002706.SZ,20240905,EVENT,5.9111,5.982,4.993,0.3696,s17;s10_in_ob;s6x3;s13;s14
002758.SZ,20240925,EVENT,4.2006,7.262,6.122,0.0025,s1v2_CHoCH↑;s7v2_up;s18;s16;s23;s9_bsl_tight;s10_in_ob;s13
301303.SZ,20240926,EVENT,2.9074,10.6,9.315,0.245,s15;s12_in_ote;s13
601678.SH,20240925,EVENT,1.4093,3.37,2.912,0.12,s15;s9_bsl_tight;s11_mss_bull_fresh;s6x1;s13
688686.SH,20240925,EVENT,15.2546,53.966,45.06,0.6,s5
605266.SH,20240904,EVENT,15.4097,19.598,15.548,0.44,s17;s10_in_ob;s14
688768.SH,20240906,EVENT,2.9221,24.95,20.106,0.0196,s1v2_CHoCH↓;s20;s15;s10_in_ob;s6x1;s14
002706.SZ,20240909,EVENT,11.4145,5.982,4.987,0.528,s17;s10_in_ob;s6x3;s14
601969.SH,20240909,EVENT,9.1517,5.591,4.966,0.3168,s17;s10_in_ob;s5;s6x3;s14
603918.SH,20240909,EVENT,0.3903,9.23,8.183,0.1225,s15;s6x1;s13;s14
002758.SZ,20240923,EVENT,8.1194,7.262,6.496,0.0412,s15;s10_in_ob;s12_in_ote;s5;s6x1;s13;s14
600873.SH,20240925,EVENT,12.3754,9.557,8.311,0.462,s17;s5;s13
688448.SH,20240926,EVENT,10.7654,13.904,10.732,0.245,s15;s12_in_ote;s6x1
688612.SH,20240926,EVENT,19.2173,23.248,16.113,0.147,s15;s8_sweep_bear;s9_bsl_tight;s13
002443.SZ,20240902,EVENT,0.2029,5.314,4.667,0.35,s15;s6x1
002014.SZ,20240904,EVENT,-1.5753,9.34,7.93,0.35,s6x1;s14
002458.SZ,20240904,EVENT,-2.8145,6.823,5.643,0.0924,s1v2_CHoCH↓;s17;s5;s6x1;s14
603300.SH,20240904,EVENT,-4.8901,5.285,4.259,0.231,s17;s5;s6x1;s14
688719.SH,20240904,EVENT,-5.2511,24.69,20.1,0.1848,s17;s10_in_ob;s5;s6x1;s14
600588.SH,20240906,EVENT,0.4997,9.28,7.898,0.1232,s1v2_CHoCH↓;s17;s10_in_ob;s6x1;s14
603008.SH,20240906,EVENT,6.3068,14.98,12.367,0.0857,s15;s12_in_ote;s6x1;s13;s14
603087.SH,20240909,EVENT,-3.683,40.956,35.44,0.0277,s24_eql_risk;s17;s10_in_ob;s5;s6x1;s14
688017.SH,20240909,EVENT,-6.3434,72.8,58.05,0.154,s1v2_CHoCH↓;s17;s6x1;s14
300073.SZ,20240911,EVENT,0.0015,31.347,25.437,0.0118,s1v2_CHoCH↑;s7v2_up;s19;s8_sweep_bear;s9_bsl_tight;s10_in_ob;s14
301047.SZ,20240911,EVENT,18.6695,61.57,46.574,0.1267,s1v2_CHoCH↓;s17;s10_in_ob;s5;s6x3;s14
605009.SH,20240911,EVENT,14.4274,25.187,20.065,0.21,s5;s6x1;s14
002706.SZ,20240912,EVENT,6.781,5.942,4.981,0.528,s17;s10_in_ob;s6x3;s14
002901.SZ,20240912,EVENT,-0.1578,23.883,20.565,0.175,s15;s12_in_ote;s14
688153.SH,20240912,EVENT,-3.4932,33.814,27.056,0.231,s17;s5;s6x1;s14
301115.SZ,20240919,EVENT,16.0529,18.4,11.192,0.021,s1v2_CHoCH↑;s7v2_up;s19;s8_sweep_bear;s14
002702.SZ,20240923,EVENT,2.4845,3.25,2.982,0.09,s15;s8_sweep_bear;s5;s14
688172.SH,20240923,EVENT,8.959,13.7,11.9,0.231,s17;s5;s6x1;s14
600380.SH,20240925,EVENT,5.3841,10.43,8.87,0.4,s15;s10_in_ob
600497.SH,20240925,EVENT,4.4021,5.041,4.213,1.1,s17
603173.SH,20240925,EVENT,1.5293,16.875,15.271,0.168,s1v2_CHoCH↓;s8_sweep_bear;s6x1
