symbol,entry_date,src,net_pnl_pct,pnl,structure_state,trend_v2,breakout_kind_v2,retrace_state_v2
600109.SH,20240208,EVENT,0.1131,0.1131,bear(LH+LL),up,CHoCH↑,no_retrace
688596.SH,20240208,EVENT,13.8809,13.8809,bear(LH+LL),down,BOS↓,retrace_fail
688646.SH,20240219,EVENT,5.7879,5.7879,bear(LH+LL),down,BOS↓,retrace_fail
300143.SZ,20240220,EVENT,0.2419,0.2419,compress(LH+HL),down,CHoCH↓,retrace_ok
001228.SZ,20240221,EVENT,9.0165,9.0165,bear(LH+LL),down,BOS↓,no_retrace
002885.SZ,20240221,EVENT,10.2801,10.2801,bear(LH+LL),down,BOS↓,no_retrace
301085.SZ,20240221,EVENT,19.1961,19.1961,bear(LH+LL),down,BOS↓,no_retrace
002093.SZ,20240222,EVENT,9.5353,9.5353,bear(LH+LL),down,BOS↓,retrace_fail
603626.SH,20240222,EVENT,11.3687,11.3687,bear(LH+LL),down,CHoCH↓,retrace_ok
002312.SZ,20240223,EVENT,-1.1487,-1.1487,bear(LH+LL),up,CHoCH↑,retrace_ok
003004.SZ,20240223,EVENT,20.2876,20.2876,bear(LH+LL),down,CHoCH↓,no_retrace
603111.SH,20240223,EVENT,12.6103,12.6103,bear(LH+LL),down,BOS↓,retrace_fail
301366.SZ,20240226,EVENT,11.349,11.349,bear(LH+LL),down,BOS↓,retrace_ok
002520.SZ,20240228,EVENT,-6.5425,-6.5425,bear(LH+LL),down,BOS↓,retrace_ok
300100.SZ,20240228,EVENT,-0.2339,-0.2339,expansion(HH+LL),down,CHoCH↓,no_retrace
301072.SZ,20240228,EVENT,13.2575,13.2575,bear(LH+LL),down,BOS↓,retrace_ok
002098.SZ,20240229,EVENT,9.9904,9.9904,bear(LH+LL),down,CHoCH↓,retrace_ok
300597.SZ,20240229,EVENT,11.2254,11.2254,bear(LH+LL),down,BOS↓,no_retrace
301248.SZ,20240229,EVENT,18.5393,18.5393,bear(LH+LL),down,BOS↓,no_retrace
688244.SH,20240229,EVENT,5.8818,5.8818,bear(LH+LL),down,BOS↓,retrace_ok
002180.SZ,20240202,EVENT,-4.6244,-4.6244,bear(LH+LL),down,BOS↓,retrace_ok
300702.SZ,20240202,EVENT,-4.5123,-4.5123,compress(LH+HL),down,CHoCH↓,retrace_ok
603990.SH,20240202,EVENT,-19.5712,-19.5712,bear(LH+LL),down,BOS↓,no_retrace
688069.SH,20240202,EVENT,-12.4038,-12.4038,bear(LH+LL),down,BOS↓,retrace_ok
688606.SH,20240202,EVENT,-9.5947,-9.5947,bear(LH+LL),down,CHoCH↓,retrace_ok
000036.SZ,20240205,EVENT,-11.794,-11.794,bear(LH+LL),down,CHoCH↓,no_retrace
300128.SZ,20240205,EVENT,-13.5212,-13.5212,bear(LH+LL),down,BOS↓,retrace_fail
000869.SZ,20240207,EVENT,9.3268,9.3268,bear(LH+LL),down,BOS↓,retrace_ok
002008.SZ,20240207,EVENT,8.8099,8.8099,bear(LH+LL),down,BOS↓,no_retrace
002532.SZ,20240207,EVENT,10.4622,10.4622,bear(LH+LL),down,BOS↓,retrace_fail
002635.SZ,20240207,EVENT,11.1055,11.1055,expansion(HH+LL),down,CHoCH↓,no_retrace
300128.SZ,20240207,EVENT,20.3522,20.3522,bear(LH+LL),down,BOS↓,retrace_fail
300997.SZ,20240207,EVENT,21.5435,21.5435,bear(LH+LL),down,BOS↓,retrace_ok
301071.SZ,20240207,EVENT,9.6276,9.6276,bear(LH+LL),down,BOS↓,retrace_fail
600497.SH,20240207,EVENT,6.4053,6.4053,bear(LH+LL),down,BOS↓,retrace_ok
600884.SH,20240207,EVENT,4.7077,4.7077,expansion(HH+LL),down,BOS↓,no_retrace
601969.SH,20240207,EVENT,21.2073,21.2073,bear(LH+LL),down,BOS↓,no_retrace
688739.SH,20240207,EVENT,3.5306,3.5306,bear(LH+LL),down,BOS↓,retrace_fail
300054.SZ,20240208,EVENT,8.1808,8.1808,bear(LH+LL),down,BOS↓,no_retrace
300285.SZ,20240208,EVENT,-2.7736,-2.7736,bear(LH+LL),down,BOS↓,retrace_fail
300463.SZ,20240208,EVENT,6.9316,6.9316,bear(LH+LL),down,BOS↓,no_retrace
300997.SZ,20240208,EVENT,15.9465,15.9465,bear(LH+LL),down,BOS↓,retrace_ok
600120.SH,20240208,EVENT,2.8623,2.8623,expansion(HH+LL),down,CHoCH↓,retrace_fail
002635.SZ,20240219,EVENT,10.3078,10.3078,expansion(HH+LL),down,CHoCH↓,no_retrace
300171.SZ,20240219,EVENT,-0.5752,-0.5752,bear(LH+LL),down,BOS↓,retrace_ok
300997.SZ,20240219,EVENT,11.7517,11.7517,bear(LH+LL),down,BOS↓,retrace_ok
600210.SH,20240219,EVENT,0.0792,0.0792,expansion(HH+LL),down,BOS↓,retrace_fail
603039.SH,20240219,EVENT,2.6034,2.6034,bear(LH+LL),down,BOS↓,retrace_fail
688088.SH,20240219,EVENT,-2.9683,-2.9683,compress(LH+HL),down,CHoCH↓,no_retrace
688298.SH,20240219,EVENT,-3.466,-3.466,bear(LH+LL),down,BOS↓,no_retrace
600075.SH,20240220,EVENT,2.7139,2.7139,bear(LH+LL),down,BOS↓,retrace_fail
301150.SZ,20240221,EVENT,3.7442,3.7442,bear(LH+LL),down,BOS↓,no_retrace
603096.SH,20240221,EVENT,9.17,9.17,bear(LH+LL),down,BOS↓,retrace_ok
688232.SH,20240221,EVENT,2.4755,2.4755,bear(LH+LL),down,CHoCH↓,retrace_ok
300903.SZ,20240222,EVENT,31.2737,31.2737,bear(LH+LL),down,BOS↓,no_retrace
301225.SZ,20240222,EVENT,15.6263,15.6263,bear(LH+LL),down,BOS↓,retrace_ok
301270.SZ,20240222,EVENT,6.0919,6.0919,bear(LH+LL),down,CHoCH↓,no_retrace
600645.SH,20240222,EVENT,0.9807,0.9807,bear(LH+LL),down,BOS↓,retrace_ok
603596.SH,20240222,EVENT,0.7211,0.7211,bear(LH+LL),down,BOS↓,no_retrace
688593.SH,20240222,EVENT,5.9818,5.9818,bear(LH+LL),down,CHoCH↓,no_retrace
001299.SZ,20240223,EVENT,9.9431,9.9431,expansion(HH+LL),down,BOS↓,retrace_ok
002796.SZ,20240223,EVENT,24.4566,24.4566,bear(LH+LL),down,BOS↓,retrace_ok
300135.SZ,20240223,EVENT,5.7779,5.7779,bear(LH+LL),down,BOS↓,retrace_ok
300915.SZ,20240223,EVENT,-1.0384,-1.0384,bear(LH+LL),down,BOS↓,no_retrace
301322.SZ,20240223,EVENT,1.6251,1.6251,bear(LH+LL),down,BOS↓,retrace_fail
603119.SH,20240223,EVENT,10.9629,10.9629,bear(LH+LL),down,BOS↓,retrace_fail
688195.SH,20240223,EVENT,9.4854,9.4854,bear(LH+LL),down,CHoCH↓,no_retrace
300597.SZ,20240226,EVENT,2.8111,2.8111,bear(LH+LL),down,BOS↓,no_retrace
300786.SZ,20240226,EVENT,7.3233,7.3233,compress(LH+HL),down,BOS↓,retrace_ok
300801.SZ,20240226,EVENT,2.431,2.431,expansion(HH+LL),down,CHoCH↓,no_retrace
300828.SZ,20240226,EVENT,11.337,11.337,bear(LH+LL),down,BOS↓,no_retrace
301116.SZ,20240226,EVENT,3.793,3.793,bear(LH+LL),down,BOS↓,no_retrace
301225.SZ,20240226,EVENT,2.5283,2.5283,bear(LH+LL),down,BOS↓,retrace_ok
603028.SH,20240226,EVENT,5.5648,5.5648,bear(LH+LL),down,BOS↓,no_retrace
603629.SH,20240226,EVENT,10.9389,10.9389,bear(LH+LL),down,BOS↓,retrace_ok
002796.SZ,20240227,EVENT,6.9634,6.9634,bear(LH+LL),down,BOS↓,retrace_ok
301085.SZ,20240227,EVENT,-3.4325,-3.4325,bear(LH+LL),down,BOS↓,retrace_fail
301125.SZ,20240227,EVENT,17.01,17.01,bear(LH+LL),down,BOS↓,no_retrace
301158.SZ,20240227,EVENT,3.2037,3.2037,bear(LH+LL),down,BOS↓,no_retrace
688455.SH,20240227,EVENT,-2.5793,-2.5793,bear(LH+LL),down,BOS↓,no_retrace
301282.SZ,20240228,EVENT,-5.7677,-5.7677,bear(LH+LL),down,BOS↓,retrace_fail
600580.SH,20240228,EVENT,-0.3441,-0.3441,expansion(HH+LL),up,CHoCH↑,no_retrace
688618.SH,20240228,EVENT,-7.346,-7.346,bear(LH+LL),down,BOS↓,no_retrace
002436.SZ,20240229,EVENT,8.9926,8.9926,bear(LH+LL),down,BOS↓,no_retrace
300095.SZ,20240229,EVENT,8.5767,8.5767,bear(LH+LL),down,BOS↓,retrace_ok
300405.SZ,20240229,EVENT,0.7974,0.7974,expansion(HH+LL),down,CHoCH↓,no_retrace
300981.SZ,20240229,EVENT,7.3386,7.3386,bear(LH+LL),down,CHoCH↓,no_retrace
300985.SZ,20240229,EVENT,12.0101,12.0101,bear(LH+LL),down,CHoCH↓,retrace_ok
301300.SZ,20240229,EVENT,22.0613,22.0613,expansion(HH+LL),down,BOS↓,no_retrace
688143.SH,20240229,EVENT,1.589,1.589,bear(LH+LL),down,BOS↓,retrace_ok
688320.SH,20240229,EVENT,15.3648,15.3648,bear(LH+LL),down,BOS↓,no_retrace
688383.SH,20240229,EVENT,9.5067,9.5067,bear(LH+LL),down,BOS↓,retrace_fail
688432.SH,20240229,EVENT,8.6059,8.6059,bear(LH+LL),down,BOS↓,retrace_ok
688543.SH,20240229,EVENT,8.3346,8.3346,bear(LH+LL),down,BOS↓,no_retrace
002373.SZ,20240201,EVENT,-2.5872,-2.5872,compress(LH+HL),down,BOS↓,no_retrace
300702.SZ,20240201,EVENT,-1.551,-1.551,compress(LH+HL),down,CHoCH↓,retrace_ok
600572.SH,20240201,EVENT,-6.5235,-6.5235,bear(LH+LL),down,BOS↓,no_retrace
300997.SZ,20240202,EVENT,-7.4224,-7.4224,bear(LH+LL),down,BOS↓,retrace_ok
600989.SH,20240202,EVENT,-1.4112,-1.4112,expansion(HH+LL),down,BOS↓,retrace_ok
688383.SH,20240202,EVENT,-10.6011,-10.6011,bear(LH+LL),down,CHoCH↓,no_retrace
000878.SZ,20240207,EVENT,6.3051,6.3051,bear(LH+LL),down,CHoCH↓,retrace_fail
002506.SZ,20240207,EVENT,13.4187,13.4187,compress(LH+HL),down,BOS↓,no_retrace
688333.SH,20240207,EVENT,16.243,16.243,bear(LH+LL),down,BOS↓,retrace_ok
002274.SZ,20240208,EVENT,10.6907,10.6907,bear(LH+LL),down,BOS↓,retrace_fail
002402.SZ,20240208,EVENT,10.7276,10.7276,bear(LH+LL),down,BOS↓,no_retrace
002683.SZ,20240208,EVENT,0.4322,0.4322,bear(LH+LL),down,BOS↓,retrace_fail
002895.SZ,20240208,EVENT,10.8289,10.8289,expansion(HH+LL),down,BOS↓,retrace_fail
002925.SZ,20240208,EVENT,9.5865,9.5865,bull(HH+HL),down,BOS↓,no_retrace
300138.SZ,20240208,EVENT,4.4358,4.4358,bear(LH+LL),down,BOS↓,retrace_fail
300233.SZ,20240208,EVENT,17.7355,17.7355,bear(LH+LL),down,BOS↓,retrace_ok
600536.SH,20240208,EVENT,22.2589,22.2589,bear(LH+LL),down,BOS↓,retrace_fail
000818.SZ,20240219,EVENT,0.715,0.715,bear(LH+LL),down,BOS↓,retrace_fail
300128.SZ,20240219,EVENT,0.7783,0.7783,bear(LH+LL),down,BOS↓,retrace_fail
300664.SZ,20240219,EVENT,-2.852,-2.852,bear(LH+LL),down,BOS↓,retrace_ok
603416.SH,20240219,EVENT,-1.0686,-1.0686,bear(LH+LL),down,BOS↓,retrace_ok
605183.SH,20240219,EVENT,6.4054,6.4054,bear(LH+LL),down,BOS↓,no_retrace
300035.SZ,20240220,EVENT,7.5293,7.5293,bear(LH+LL),down,BOS↓,no_retrace
300395.SZ,20240220,EVENT,7.8138,7.8138,bear(LH+LL),down,BOS↓,retrace_ok
301370.SZ,20240220,EVENT,6.2487,6.2487,bear(LH+LL),down,BOS↓,no_retrace
603067.SH,20240220,EVENT,2.7161,2.7161,expansion(HH+LL),down,BOS↓,retrace_fail
688166.SH,20240220,EVENT,15.569,15.569,bear(LH+LL),down,BOS↓,no_retrace
002402.SZ,20240221,EVENT,4.3347,4.3347,bear(LH+LL),down,BOS↓,no_retrace
002457.SZ,20240221,EVENT,0.3094,0.3094,bear(LH+LL),down,BOS↓,retrace_fail
002820.SZ,20240221,EVENT,8.869,8.869,expansion(HH+LL),down,BOS↓,no_retrace
300054.SZ,20240221,EVENT,3.8618,3.8618,bear(LH+LL),down,BOS↓,no_retrace
300656.SZ,20240221,EVENT,1.7421,1.7421,bear(LH+LL),down,BOS↓,retrace_fail
301063.SZ,20240221,EVENT,20.6775,20.6775,bear(LH+LL),down,BOS↓,no_retrace
301206.SZ,20240221,EVENT,-2.8978,-2.8978,compress(LH+HL),down,BOS↓,no_retrace
301317.SZ,20240221,EVENT,24.6896,24.6896,bear(LH+LL),down,BOS↓,no_retrace
301335.SZ,20240221,EVENT,10.3673,10.3673,bear(LH+LL),down,BOS↓,no_retrace
600212.SH,20240221,EVENT,13.5845,13.5845,bear(LH+LL),down,CHoCH↓,no_retrace
603111.SH,20240221,EVENT,27.3513,27.3513,bear(LH+LL),down,BOS↓,retrace_ok
603166.SH,20240221,EVENT,9.046,9.046,bear(LH+LL),down,BOS↓,no_retrace
603324.SH,20240221,EVENT,4.288,4.288,expansion(HH+LL),down,CHoCH↓,no_retrace
688237.SH,20240221,EVENT,7.8564,7.8564,bear(LH+LL),down,BOS↓,retrace_ok
