symbol,entry_date,src,net_pnl_pct,resonance_break,resonance_side,breakout_price,breakout_date
605060.SH,20240222,EVENT,-0.1365,False,,15.435,20240221
688173.SH,20240222,EVENT,36.2719,False,,12.34,20240130
688432.SH,20240222,EVENT,8.6383,False,,9.485,20240131
688486.SH,20240222,EVENT,10.2446,False,,33.408,20240122
688628.SH,20240222,EVENT,3.7926,False,,30.105,20240219
688699.SH,20240222,EVENT,10.1437,False,,29.78,20240130
002910.SZ,20240223,EVENT,1.2663,False,,8.97,20240131
300074.SZ,20240223,EVENT,16.8201,False,,3.77,20240131
300378.SZ,20240223,EVENT,9.2436,False,,16.402,20240131
300897.SZ,20240223,EVENT,10.8715,False,,8.921,20240131
301068.SZ,20240223,EVENT,3.7606,False,,13.361,20240131
301085.SZ,20240223,EVENT,1.8903,False,,45.602,20240130
600199.SH,20240223,EVENT,7.7539,False,,14.98,20240131
600543.SH,20240223,EVENT,8.0321,False,,5.4,20240131
603356.SH,20240223,EVENT,14.9893,False,,12.19,20240131
688356.SH,20240223,EVENT,2.7948,False,,94.948,20240117
688519.SH,20240223,EVENT,11.8278,False,,23.772,20240103
688528.SH,20240223,EVENT,9.0848,False,,8.7,20240130
300232.SZ,20240226,EVENT,-0.7622,False,,6.32,20240223
300331.SZ,20240226,EVENT,5.2826,False,,17.71,20240130
300448.SZ,20240226,EVENT,9.8248,False,,4.297,20240131
300629.SZ,20240226,EVENT,12.1887,False,,16.402,20240131
300688.SZ,20240226,EVENT,1.4699,False,,24.155,20240130
300845.SZ,20240226,EVENT,4.3561,False,,7.379,20240130
300912.SZ,20240226,EVENT,3.4177,False,,14.24,20240131
301033.SZ,20240226,EVENT,3.387,False,,32.708,20240131
301059.SZ,20240226,EVENT,6.178,False,,9.083,20240131
301222.SZ,20240226,EVENT,5.7781,False,,15.746,20240131
301389.SZ,20240226,EVENT,12.9871,False,,13.237,20240130
600232.SH,20240226,EVENT,13.1653,False,,4.74,20240131
600525.SH,20240226,EVENT,2.8664,False,,4.34,20240223
600699.SH,20240226,EVENT,-0.5099,False,,15.177,20240122
603017.SH,20240226,EVENT,-0.3196,False,,8.035,20240131
603321.SH,20240226,EVENT,4.1251,False,,6.765,20240131
603687.SH,20240226,EVENT,7.3328,False,,9.464,20240201
603726.SH,20240226,EVENT,14.0364,False,,11.155,20240131
688383.SH,20240226,EVENT,3.7165,False,,63.613,20240202
688478.SH,20240226,EVENT,-0.5297,False,,46.684,20240103
300124.SZ,20240227,EVENT,7.1965,False,,56.301,20240205
300546.SZ,20240227,EVENT,6.7498,False,,12.21,20240131
300686.SZ,20240227,EVENT,17.1515,False,,7.89,20240130
301123.SZ,20240227,EVENT,2.6704,False,,16.973,20240130
301397.SZ,20240227,EVENT,1.0718,False,,33.8,20240130
688032.SH,20240227,EVENT,3.677,False,,165.624,20240119
688133.SH,20240227,EVENT,-0.4033,False,,24.323,20240130
001360.SZ,20240228,EVENT,-2.1919,False,,14.19,20240131
002671.SZ,20240228,EVENT,-1.2848,False,,4.33,20240131
300405.SZ,20240228,EVENT,-3.0843,False,,6.51,20240131
300447.SZ,20240228,EVENT,2.8389,False,,11.115,20240131
300538.SZ,20240228,EVENT,1.0742,False,,14.24,20240130
300836.SZ,20240228,EVENT,16.0811,False,,14.658,20240131
603626.SH,20240228,EVENT,1.6097,False,,6.07,20240130
605018.SH,20240228,EVENT,-1.6595,False,,8.516,20240131
688317.SH,20240228,EVENT,-5.7835,False,,16.491,20240223
688593.SH,20240228,EVENT,-6.1208,False,,10.936,20240131
001299.SZ,20240229,EVENT,16.8977,False,,13.01,20240131
002769.SZ,20240229,EVENT,7.8543,False,,6.914,20240131
002899.SZ,20240229,EVENT,16.5072,False,,13.623,20240130
300166.SZ,20240229,EVENT,9.7566,False,,8.32,20240219
301125.SZ,20240229,EVENT,35.596,False,,7.457,20240131
301130.SZ,20240229,EVENT,17.5159,False,,21.619,20240131
301362.SZ,20240229,EVENT,12.3873,False,,19.796,20240130
600543.SH,20240229,EVENT,13.9448,False,,5.4,20240131
688081.SH,20240229,EVENT,11.7186,False,,11.89,20240131
688362.SH,20240229,EVENT,9.4656,False,,22.13,20240122
688536.SH,20240229,EVENT,2.4739,False,,136.726,20240104
688610.SH,20240229,EVENT,26.1724,False,,33.504,20240130
688630.SH,20240229,EVENT,4.0402,False,,70.414,20240117
688018.SH,20240201,EVENT,-3.0171,False,,81.5,20240131
688069.SH,20240201,EVENT,-8.9829,False,,13.129,20240117
688072.SH,20240201,EVENT,-0.8688,False,,111.04,20240130
688281.SH,20240201,EVENT,-1.1339,False,,36.241,20240131
000404.SZ,20240202,EVENT,-5.0578,False,,4.32,20240201
301071.SZ,20240202,EVENT,-4.3499,False,,28.388,20240118
600351.SH,20240202,EVENT,-4.3611,False,,6.71,20240108
600739.SH,20240202,EVENT,-4.7284,False,,10.921,20240117
601003.SH,20240202,EVENT,-5.8255,False,,2.96,20240117
300129.SZ,20240205,EVENT,-8.9925,False,,7.67,20240129
601003.SH,20240205,EVENT,-5.7389,False,,2.96,20240117
600337.SH,20240206,EVENT,-2.4717,False,,2.648,20240122
001289.SZ,20240207,EVENT,1.0263,False,,18.7,20240118
600022.SH,20240207,EVENT,4.6658,False,,1.25,20240205
600031.SH,20240207,EVENT,1.2466,False,,12.435,20240126
601003.SH,20240207,EVENT,-0.9033,False,,2.65,20240205
688147.SH,20240207,EVENT,12.7877,False,,33.729,20240119
002424.SZ,20240208,EVENT,5.0511,False,,7.54,20240131
002484.SZ,20240208,EVENT,10.299,False,,14.406,20240129
003012.SZ,20240208,EVENT,3.5691,False,,6.529,20240202
601003.SH,20240208,EVENT,9.4579,False,,2.65,20240205
603558.SH,20240208,EVENT,8.8663,False,,7.275,20240201
000534.SZ,20240219,EVENT,0.4287,False,,10.291,20240202
002111.SZ,20240219,EVENT,12.1904,False,,7.28,20240131
002252.SZ,20240219,EVENT,4.8659,False,,6.54,20240131
002627.SZ,20240219,EVENT,4.1222,False,,4.454,20240202
301325.SZ,20240219,EVENT,0.8973,False,,50.923,20240130
605060.SH,20240219,EVENT,1.0744,False,,13.925,20240131
000544.SZ,20240220,EVENT,0.9345,False,,5.5,20240205
002687.SZ,20240220,EVENT,11.9759,False,,4.4,20240131
301196.SZ,20240220,EVENT,6.578,False,,19.218,20240131
